scope,display_name,base_species,species,method,location,period,chance,requirement,evolution_from
species,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_PIDGEY,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_PIDGEOTTO,SPECIES_PIDGEOTTO,SPECIES_PIDGEOTTO,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_PIDGEOT,SPECIES_PIDGEOT,SPECIES_PIDGEOT,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_PIDGEOTTO
species,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_RATICATE,SPECIES_RATICATE,SPECIES_RATICATE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SPEAROW,SPECIES_SPEAROW,SPECIES_SPEAROW,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_FEAROW,SPECIES_FEAROW,SPECIES_FEAROW,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_EKANS,SPECIES_EKANS,SPECIES_EKANS,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_ARBOK,SPECIES_ARBOK,SPECIES_ARBOK,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_EKANS
species,SPECIES_PIKACHU,SPECIES_PIKACHU,SPECIES_PIKACHU,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_RAICHU,SPECIES_RAICHU,SPECIES_RAICHU,evolution,same save,any,guaranteed,see Evolution Changes,
species,SPECIES_SANDSHREW,SPECIES_SANDSHREW,SPECIES_SANDSHREW,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SANDSLASH,SPECIES_SANDSLASH,SPECIES_SANDSLASH,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_NIDORAN_F,SPECIES_NIDORAN_F,SPECIES_NIDORAN_F,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_NIDORINA,SPECIES_NIDORINA,SPECIES_NIDORINA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_NIDOQUEEN,SPECIES_NIDOQUEEN,SPECIES_NIDOQUEEN,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_NIDORINA
species,SPECIES_NIDORAN_M,SPECIES_NIDORAN_M,SPECIES_NIDORAN_M,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_NIDORINO,SPECIES_NIDORINO,SPECIES_NIDORINO,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_NIDOKING,SPECIES_NIDOKING,SPECIES_NIDOKING,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_NIDORINO
species,SPECIES_CLEFAIRY,SPECIES_CLEFAIRY,SPECIES_CLEFAIRY,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_CLEFABLE,SPECIES_CLEFABLE,SPECIES_CLEFABLE,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_CLEFAIRY
species,SPECIES_VULPIX,SPECIES_VULPIX,SPECIES_VULPIX,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_NINETALES,SPECIES_NINETALES,SPECIES_NINETALES,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_VULPIX
species,SPECIES_JIGGLYPUFF,SPECIES_JIGGLYPUFF,SPECIES_JIGGLYPUFF,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_WIGGLYTUFF,SPECIES_WIGGLYTUFF,SPECIES_WIGGLYTUFF,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_JIGGLYPUFF
species,SPECIES_ZUBAT,SPECIES_ZUBAT,SPECIES_ZUBAT,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GOLBAT,SPECIES_GOLBAT,SPECIES_GOLBAT,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_ODDISH,SPECIES_ODDISH,SPECIES_ODDISH,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GLOOM,SPECIES_GLOOM,SPECIES_GLOOM,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_VILEPLUME,SPECIES_VILEPLUME,SPECIES_VILEPLUME,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_GLOOM
species,SPECIES_PARAS,SPECIES_PARAS,SPECIES_PARAS,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_PARASECT,SPECIES_PARASECT,SPECIES_PARASECT,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_VENONAT,SPECIES_VENONAT,SPECIES_VENONAT,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_VENOMOTH,SPECIES_VENOMOTH,SPECIES_VENOMOTH,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_DIGLETT,SPECIES_DIGLETT,SPECIES_DIGLETT,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_DUGTRIO,SPECIES_DUGTRIO,SPECIES_DUGTRIO,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MEOWTH,SPECIES_MEOWTH,SPECIES_MEOWTH,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_PERSIAN,SPECIES_PERSIAN,SPECIES_PERSIAN,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_MEOWTH
species,SPECIES_PSYDUCK,SPECIES_PSYDUCK,SPECIES_PSYDUCK,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GOLDUCK,SPECIES_GOLDUCK,SPECIES_GOLDUCK,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MANKEY,SPECIES_MANKEY,SPECIES_MANKEY,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_PRIMEAPE,SPECIES_PRIMEAPE,SPECIES_PRIMEAPE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GROWLITHE,SPECIES_GROWLITHE,SPECIES_GROWLITHE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_ARCANINE,SPECIES_ARCANINE,SPECIES_ARCANINE,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_GROWLITHE
species,SPECIES_POLIWAG,SPECIES_POLIWAG,SPECIES_POLIWAG,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_POLIWHIRL,SPECIES_POLIWHIRL,SPECIES_POLIWHIRL,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_POLIWRATH,SPECIES_POLIWRATH,SPECIES_POLIWRATH,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_POLIWHIRL
species,SPECIES_ABRA,SPECIES_ABRA,SPECIES_ABRA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_KADABRA,SPECIES_KADABRA,SPECIES_KADABRA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_ALAKAZAM,SPECIES_ALAKAZAM,SPECIES_ALAKAZAM,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_KADABRA
species,SPECIES_MACHOP,SPECIES_MACHOP,SPECIES_MACHOP,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MACHOKE,SPECIES_MACHOKE,SPECIES_MACHOKE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MACHAMP,SPECIES_MACHAMP,SPECIES_MACHAMP,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_MACHOKE
species,SPECIES_BELLSPROUT,SPECIES_BELLSPROUT,SPECIES_BELLSPROUT,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_WEEPINBELL,SPECIES_WEEPINBELL,SPECIES_WEEPINBELL,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_VICTREEBEL,SPECIES_VICTREEBEL,SPECIES_VICTREEBEL,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_WEEPINBELL
species,SPECIES_TENTACOOL,SPECIES_TENTACOOL,SPECIES_TENTACOOL,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_TENTACRUEL,SPECIES_TENTACRUEL,SPECIES_TENTACRUEL,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GRAVELER,SPECIES_GRAVELER,SPECIES_GRAVELER,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GOLEM,SPECIES_GOLEM,SPECIES_GOLEM,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_GRAVELER
species,SPECIES_PONYTA,SPECIES_PONYTA,SPECIES_PONYTA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_RAPIDASH,SPECIES_RAPIDASH,SPECIES_RAPIDASH,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SLOWPOKE,SPECIES_SLOWPOKE,SPECIES_SLOWPOKE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SLOWBRO,SPECIES_SLOWBRO,SPECIES_SLOWBRO,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MAGNEMITE,SPECIES_MAGNEMITE,SPECIES_MAGNEMITE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MAGNETON,SPECIES_MAGNETON,SPECIES_MAGNETON,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_FARFETCHD,SPECIES_FARFETCHD,SPECIES_FARFETCHD,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_DODUO,SPECIES_DODUO,SPECIES_DODUO,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_DODRIO,SPECIES_DODRIO,SPECIES_DODRIO,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SEEL,SPECIES_SEEL,SPECIES_SEEL,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_DEWGONG,SPECIES_DEWGONG,SPECIES_DEWGONG,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GRIMER,SPECIES_GRIMER,SPECIES_GRIMER,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MUK,SPECIES_MUK,SPECIES_MUK,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SHELLDER,SPECIES_SHELLDER,SPECIES_SHELLDER,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_CLOYSTER,SPECIES_CLOYSTER,SPECIES_CLOYSTER,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_SHELLDER
species,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_GASTLY,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_HAUNTER,SPECIES_HAUNTER,SPECIES_HAUNTER,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GENGAR,SPECIES_GENGAR,SPECIES_GENGAR,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_HAUNTER
species,SPECIES_ONIX,SPECIES_ONIX,SPECIES_ONIX,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_DROWZEE,SPECIES_DROWZEE,SPECIES_DROWZEE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_HYPNO,SPECIES_HYPNO,SPECIES_HYPNO,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_KRABBY,SPECIES_KRABBY,SPECIES_KRABBY,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_KINGLER,SPECIES_KINGLER,SPECIES_KINGLER,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_VOLTORB,SPECIES_VOLTORB,SPECIES_VOLTORB,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_ELECTRODE,SPECIES_ELECTRODE,SPECIES_ELECTRODE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_EXEGGCUTE,SPECIES_EXEGGCUTE,SPECIES_EXEGGCUTE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_EXEGGUTOR,SPECIES_EXEGGUTOR,SPECIES_EXEGGUTOR,evolution,same save,any,guaranteed,see Evolution Changes,
species,SPECIES_CUBONE,SPECIES_CUBONE,SPECIES_CUBONE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MAROWAK,SPECIES_MAROWAK,SPECIES_MAROWAK,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_HITMONLEE,SPECIES_HITMONLEE,SPECIES_HITMONLEE,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_TYROGUE
species,SPECIES_HITMONCHAN,SPECIES_HITMONCHAN,SPECIES_HITMONCHAN,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_TYROGUE
species,SPECIES_LICKITUNG,SPECIES_LICKITUNG,SPECIES_LICKITUNG,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_KOFFING,SPECIES_KOFFING,SPECIES_KOFFING,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_WEEZING,SPECIES_WEEZING,SPECIES_WEEZING,evolution,same save,any,guaranteed,see Evolution Changes,
species,SPECIES_RHYHORN,SPECIES_RHYHORN,SPECIES_RHYHORN,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_RHYDON,SPECIES_RHYDON,SPECIES_RHYDON,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_RHYHORN
species,SPECIES_CHANSEY,SPECIES_CHANSEY,SPECIES_CHANSEY,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_TANGELA,SPECIES_TANGELA,SPECIES_TANGELA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_KANGASKHAN,SPECIES_KANGASKHAN,SPECIES_KANGASKHAN,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_HORSEA,SPECIES_HORSEA,SPECIES_HORSEA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SEADRA,SPECIES_SEADRA,SPECIES_SEADRA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GOLDEEN,SPECIES_GOLDEEN,SPECIES_GOLDEEN,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SEAKING,SPECIES_SEAKING,SPECIES_SEAKING,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_STARYU,SPECIES_STARYU,SPECIES_STARYU,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_STARMIE,SPECIES_STARMIE,SPECIES_STARMIE,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_STARYU
species,SPECIES_MR_MIME,SPECIES_MR_MIME,SPECIES_MR_MIME,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SCYTHER,SPECIES_SCYTHER,SPECIES_SCYTHER,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_JYNX,SPECIES_JYNX,SPECIES_JYNX,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_ELECTABUZZ,SPECIES_ELECTABUZZ,SPECIES_ELECTABUZZ,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MAGMAR,SPECIES_MAGMAR,SPECIES_MAGMAR,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_MAGBY
species,SPECIES_PINSIR,SPECIES_PINSIR,SPECIES_PINSIR,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_TAUROS,SPECIES_TAUROS,SPECIES_TAUROS,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_MAGIKARP,SPECIES_MAGIKARP,SPECIES_MAGIKARP,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_GYARADOS,SPECIES_GYARADOS,SPECIES_GYARADOS,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_LAPRAS,SPECIES_LAPRAS,SPECIES_LAPRAS,static,Union Cave B2F,Friday,guaranteed,Surf,
species,SPECIES_DITTO,SPECIES_DITTO,SPECIES_DITTO,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_EEVEE,SPECIES_EEVEE,SPECIES_EEVEE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_VAPOREON,SPECIES_VAPOREON,SPECIES_VAPOREON,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_EEVEE
species,SPECIES_JOLTEON,SPECIES_JOLTEON,SPECIES_JOLTEON,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_EEVEE
species,SPECIES_FLAREON,SPECIES_FLAREON,SPECIES_FLAREON,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_EEVEE
species,SPECIES_PORYGON,SPECIES_PORYGON,SPECIES_PORYGON,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_OMANYTE,SPECIES_OMANYTE,SPECIES_OMANYTE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_OMASTAR,SPECIES_OMASTAR,SPECIES_OMASTAR,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_OMANYTE
species,SPECIES_KABUTO,SPECIES_KABUTO,SPECIES_KABUTO,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_KABUTOPS,SPECIES_KABUTOPS,SPECIES_KABUTOPS,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_KABUTO
species,SPECIES_AERODACTYL,SPECIES_AERODACTYL,SPECIES_AERODACTYL,wild,National Park,night,1%,none,
species,SPECIES_SNORLAX,SPECIES_SNORLAX,SPECIES_SNORLAX,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_MUNCHLAX
species,SPECIES_ARTICUNO,SPECIES_ARTICUNO,SPECIES_ARTICUNO,wild,Seafoam Islands 1F,all,1%,post-game,
species,SPECIES_ZAPDOS,SPECIES_ZAPDOS,SPECIES_ZAPDOS,wild,Rock Tunnel 1F,all,1%,post-game,
species,SPECIES_MOLTRES,SPECIES_MOLTRES,SPECIES_MOLTRES,wild,Mt. Silver (Moltres room),all,1%,post-game,
species,SPECIES_DRATINI,SPECIES_DRATINI,SPECIES_DRATINI,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_DRAGONAIR,SPECIES_DRAGONAIR,SPECIES_DRAGONAIR,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_DRAGONITE,SPECIES_DRAGONITE,SPECIES_DRAGONITE,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_DRAGONAIR
species,SPECIES_MEWTWO,SPECIES_MEWTWO,SPECIES_MEWTWO,wild,Cerulean Cave 1F,all,1%,post-game,
species,SPECIES_MEW,SPECIES_MEW,SPECIES_MEW,wild,Bell Tower 9F,all,1%,post-game,
species,SPECIES_CHIKORITA,SPECIES_CHIKORITA,SPECIES_CHIKORITA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_BAYLEEF,SPECIES_BAYLEEF,SPECIES_BAYLEEF,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_CHIKORITA
species,SPECIES_MEGANIUM,SPECIES_MEGANIUM,SPECIES_MEGANIUM,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_BAYLEEF
species,SPECIES_CYNDAQUIL,SPECIES_CYNDAQUIL,SPECIES_CYNDAQUIL,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_QUILAVA,SPECIES_QUILAVA,SPECIES_QUILAVA,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_CYNDAQUIL
species,SPECIES_TYPHLOSION,SPECIES_TYPHLOSION,SPECIES_TYPHLOSION,evolution,same save,any,guaranteed,see Evolution Changes,
species,SPECIES_TOTODILE,SPECIES_TOTODILE,SPECIES_TOTODILE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_CROCONAW,SPECIES_CROCONAW,SPECIES_CROCONAW,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_TOTODILE
species,SPECIES_FERALIGATR,SPECIES_FERALIGATR,SPECIES_FERALIGATR,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_CROCONAW
species,SPECIES_SENTRET,SPECIES_SENTRET,SPECIES_SENTRET,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_FURRET,SPECIES_FURRET,SPECIES_FURRET,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_NOCTOWL,SPECIES_NOCTOWL,SPECIES_NOCTOWL,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_LEDYBA,SPECIES_LEDYBA,SPECIES_LEDYBA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_LEDIAN,SPECIES_LEDIAN,SPECIES_LEDIAN,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_LEDYBA
species,SPECIES_SPINARAK,SPECIES_SPINARAK,SPECIES_SPINARAK,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_ARIADOS,SPECIES_ARIADOS,SPECIES_ARIADOS,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_CROBAT,SPECIES_CROBAT,SPECIES_CROBAT,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_GOLBAT
species,SPECIES_CHINCHOU,SPECIES_CHINCHOU,SPECIES_CHINCHOU,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_LANTURN,SPECIES_LANTURN,SPECIES_LANTURN,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_PICHU,SPECIES_PICHU,SPECIES_PICHU,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_CLEFFA,SPECIES_CLEFFA,SPECIES_CLEFFA,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_IGGLYBUFF,SPECIES_IGGLYBUFF,SPECIES_IGGLYBUFF,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_TOGEPI,SPECIES_TOGEPI,SPECIES_TOGEPI,gift egg,Violet City Poké Mart,any,guaranteed,defeat Falkner,
species,SPECIES_TOGETIC,SPECIES_TOGETIC,SPECIES_TOGETIC,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_TOGEPI
species,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_XATU,SPECIES_XATU,SPECIES_XATU,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_NATU
species,SPECIES_MAREEP,SPECIES_MAREEP,SPECIES_MAREEP,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_FLAAFFY,SPECIES_FLAAFFY,SPECIES_FLAAFFY,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_AMPHAROS,SPECIES_AMPHAROS,SPECIES_AMPHAROS,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_FLAAFFY
species,SPECIES_BELLOSSOM,SPECIES_BELLOSSOM,SPECIES_BELLOSSOM,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_GLOOM
species,SPECIES_MARILL,SPECIES_MARILL,SPECIES_MARILL,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_AZUMARILL,SPECIES_AZUMARILL,SPECIES_AZUMARILL,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_MARILL
species,SPECIES_SUDOWOODO,SPECIES_SUDOWOODO,SPECIES_SUDOWOODO,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_BONSLY
species,SPECIES_POLITOED,SPECIES_POLITOED,SPECIES_POLITOED,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_POLIWHIRL
species,SPECIES_HOPPIP,SPECIES_HOPPIP,SPECIES_HOPPIP,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_SKIPLOOM,SPECIES_SKIPLOOM,SPECIES_SKIPLOOM,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
